Category;Description;TCID;REQID;MappedTCsCount;FeatureREQID;UserStoryCount
C2;TCID 'TC0185' from test_cases.csv is not mapped in REQID_TCID.csv;TC0185;;;;
C2;TCID 'TC0186' from test_cases.csv is not mapped in REQID_TCID.csv;TC0186;;;;
C2;TCID 'TC0187' from test_cases.csv is not mapped in REQID_TCID.csv;TC0187;;;;
C2;TCID 'TC0188' from test_cases.csv is not mapped in REQID_TCID.csv;TC0188;;;;
C2;TCID 'TC0189' from test_cases.csv is not mapped in REQID_TCID.csv;TC0189;;;;
C2;TCID 'TC0190' from test_cases.csv is not mapped in REQID_TCID.csv;TC0190;;;;
C2;TCID 'TC0191' from test_cases.csv is not mapped in REQID_TCID.csv;TC0191;;;;
C2;TCID 'TC0192' from test_cases.csv is not mapped in REQID_TCID.csv;TC0192;;;;
C2;TCID 'TC0193' from test_cases.csv is not mapped in REQID_TCID.csv;TC0193;;;;
C2;TCID 'TC0194' from test_cases.csv is not mapped in REQID_TCID.csv;TC0194;;;;
C2;TCID 'TC0195' from test_cases.csv is not mapped in REQID_TCID.csv;TC0195;;;;
C2;TCID 'TC0196' from test_cases.csv is not mapped in REQID_TCID.csv;TC0196;;;;
C2;TCID 'TC0197' from test_cases.csv is not mapped in REQID_TCID.csv;TC0197;;;;
C2;TCID 'TC0198' from test_cases.csv is not mapped in REQID_TCID.csv;TC0198;;;;
C2;TCID 'TC0199' from test_cases.csv is not mapped in REQID_TCID.csv;TC0199;;;;
C2;TCID 'TC0200' from test_cases.csv is not mapped in REQID_TCID.csv;TC0200;;;;
C2;TCID 'TC0201' from test_cases.csv is not mapped in REQID_TCID.csv;TC0201;;;;
C2;TCID 'TC0202' from test_cases.csv is not mapped in REQID_TCID.csv;TC0202;;;;
C2;TCID 'TC0203' from test_cases.csv is not mapped in REQID_TCID.csv;TC0203;;;;
C2;TCID 'TC0204' from test_cases.csv is not mapped in REQID_TCID.csv;TC0204;;;;
C2;TCID 'TC0205' from test_cases.csv is not mapped in REQID_TCID.csv;TC0205;;;;
C2;TCID 'TC0206' from test_cases.csv is not mapped in REQID_TCID.csv;TC0206;;;;
C2;TCID 'TC0207' from test_cases.csv is not mapped in REQID_TCID.csv;TC0207;;;;
C2;TCID 'TC0208' from test_cases.csv is not mapped in REQID_TCID.csv;TC0208;;;;
C2;TCID 'TC0209' from test_cases.csv is not mapped in REQID_TCID.csv;TC0209;;;;
C2;TCID 'TC0210' from test_cases.csv is not mapped in REQID_TCID.csv;TC0210;;;;
C2;TCID 'TC0211' from test_cases.csv is not mapped in REQID_TCID.csv;TC0211;;;;
C2;TCID 'TC0212' from test_cases.csv is not mapped in REQID_TCID.csv;TC0212;;;;
C2;TCID 'TC0213' from test_cases.csv is not mapped in REQID_TCID.csv;TC0213;;;;
C2;TCID 'TC0214' from test_cases.csv is not mapped in REQID_TCID.csv;TC0214;;;;
C2;TCID 'TC0215' from test_cases.csv is not mapped in REQID_TCID.csv;TC0215;;;;
C2;TCID 'TC0216' from test_cases.csv is not mapped in REQID_TCID.csv;TC0216;;;;
C5;UserStory REQID '01.02.01' is mapped to only 1 unique TCID(s) (needs >= 2);;01.02.01;1.0;;
C5;UserStory REQID '01.03.01' is mapped to only 1 unique TCID(s) (needs >= 2);;01.03.01;1.0;;
C5;UserStory REQID '01.03.02' is mapped to only 1 unique TCID(s) (needs >= 2);;01.03.02;1.0;;
C5;UserStory REQID '01.04.01' is mapped to only 1 unique TCID(s) (needs >= 2);;01.04.01;1.0;;
C5;UserStory REQID '01.05.01' is mapped to only 1 unique TCID(s) (needs >= 2);;01.05.01;1.0;;
C5;UserStory REQID '01.06.01' is mapped to only 1 unique TCID(s) (needs >= 2);;01.06.01;1.0;;
C5;UserStory REQID '02.01.01' is mapped to only 1 unique TCID(s) (needs >= 2);;02.01.01;1.0;;
C5;UserStory REQID '02.01.02' is mapped to only 1 unique TCID(s) (needs >= 2);;02.01.02;1.0;;
C5;UserStory REQID '02.01.03' is mapped to only 1 unique TCID(s) (needs >= 2);;02.01.03;1.0;;
C5;UserStory REQID '02.02.01' is mapped to only 1 unique TCID(s) (needs >= 2);;02.02.01;1.0;;
C5;UserStory REQID '02.02.02' is mapped to only 1 unique TCID(s) (needs >= 2);;02.02.02;1.0;;
